baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000103034	1214.11	5.4055	0.161256	33.5212	2.36372e-246	3.86918e-242
ENSG00000116852	1041.65	4.36249	0.154246	28.2826	5.65954e-176	4.63205e-172
ENSG00000205978	1273.81	3.4043	0.126279	26.9585	4.53759e-160	2.47586e-156
ENSG00000134363	9726.61	-2.06951	0.0810955	-25.5194	1.20113e-143	4.91531e-140
ENSG00000073067	1662.57	-2.95264	0.11915	-24.7809	1.44219e-135	4.72146e-132
ENSG00000096070	3067.23	-2.6585	0.10999	-24.1703	4.56998e-129	1.24677e-125
ENSG00000156453	646.474	3.75367	0.162273	23.1318	2.21573e-118	5.18132e-115
ENSG00000188322	1062.24	3.13036	0.135726	23.0637	1.07124e-117	2.1919e-114
ENSG00000186648	461.773	4.83481	0.218076	22.1703	6.65004e-109	1.20949e-105
ENSG00000197471	1048.1	2.79329	0.127075	21.9814	4.3344e-107	7.09497e-104
ENSG00000106976	460.52	3.86922	0.177512	21.797	2.47802e-105	3.68751e-102
ENSG00000156515	744.21	3.78864	0.1739	21.7863	3.13113e-105	4.27112e-102
ENSG00000157851	404.454	5.95471	0.281364	21.1637	2.0616e-99	2.59587e-96
ENSG00000074181	442.307	4.16578	0.198924	20.9415	2.24148e-97	2.62077e-94
ENSG00000135414	664.267	3.14409	0.151156	20.8003	4.30354e-96	4.6963e-93
ENSG00000183196	540.47	3.41891	0.165707	20.6322	1.40975e-94	1.44226e-91
ENSG00000115194	386.635	4.0345	0.201086	20.0636	1.53561e-89	1.47861e-86
ENSG00000025039	312.701	4.76374	0.239501	19.8902	4.94346e-88	4.49552e-85
ENSG00000072071	985.496	2.88845	0.146531	19.7121	1.69685e-86	1.46188e-83
ENSG00000167191	372.166	4.12615	0.210498	19.6019	1.48963e-85	1.21919e-82
ENSG00000132718	471.979	4.13816	0.211348	19.5798	2.29935e-85	1.79229e-82
ENSG00000107731	626.942	3.10947	0.160073	19.4253	4.71371e-84	3.50722e-81
ENSG00000143375	626.316	3.04233	0.15747	19.32	3.64299e-83	2.5927e-80
ENSG00000182575	328.997	5.07067	0.26348	19.245	1.55587e-82	1.06117e-79
ENSG00000182379	314.478	4.29216	0.223422	19.211	2.99711e-82	1.9307e-79
ENSG00000229314	10675.9	-2.1022	0.109434	-19.2098	3.06666e-82	1.9307e-79
ENSG00000162496	2461.53	-2.08193	0.108447	-19.1977	3.87172e-82	2.34727e-79
ENSG00000100321	490.457	3.54478	0.184929	19.1683	6.80564e-82	3.97863e-79
ENSG00000007516	623.123	3.00081	0.157448	19.0591	5.52415e-81	3.1181e-78
ENSG00000059804	3277.96	2.65223	0.13964	18.9933	1.93648e-80	1.05661e-77
ENSG00000065361	13236.1	-1.82738	0.0964364	-18.9491	4.49311e-80	2.37251e-77
ENSG00000173805	394.41	3.8168	0.201545	18.9378	5.57126e-80	2.84987e-77
ENSG00000160211	5936.64	1.91101	0.101653	18.7993	7.6561e-79	3.79766e-76
ENSG00000108387	288.212	4.97867	0.267231	18.6306	1.81393e-77	8.73301e-75
ENSG00000105419	351.042	3.67937	0.198093	18.574	5.21794e-77	2.44036e-74
ENSG00000075618	2098.24	2.64751	0.143397	18.4629	4.10965e-76	1.86864e-73
ENSG00000168280	417.973	4.87324	0.264078	18.4538	4.86093e-76	2.1505e-73
ENSG00000149260	737.728	2.40417	0.131787	18.2429	2.35668e-74	1.01517e-71
ENSG00000108312	2522.52	-1.94453	0.106618	-18.2384	2.55948e-74	1.07426e-71
ENSG00000196517	1658.25	-2.94199	0.161907	-18.1708	8.78896e-74	3.59666e-71
ENSG00000145692	361.674	3.65975	0.204993	17.8531	2.73435e-71	1.09167e-68
ENSG00000187764	686.799	2.81806	0.159012	17.7223	2.81905e-70	1.09869e-67
ENSG00000153885	592.339	-2.60451	0.14764	-17.6409	1.1952e-69	4.54984e-67
ENSG00000100626	321.672	3.45319	0.19731	17.5013	1.39979e-68	5.20752e-66
