GeneSymbol	accession
ENSG00000223972	DDX11L1	ENSG00000223972
ENSG00000227232	WASH7P	ENSG00000227232
ENSG00000278267	MIR6859-1	ENSG00000278267
ENSG00000243485	MIR1302-2HG	ENSG00000243485
ENSG00000284332	MIR1302-2	ENSG00000284332
ENSG00000237613	FAM138A	ENSG00000237613
ENSG00000268020	AL627309.6	ENSG00000268020
ENSG00000240361	OR4G11P	ENSG00000240361
ENSG00000186092	OR4F5	ENSG00000186092
ENSG00000238009	AL627309.1	ENSG00000238009
ENSG00000239945	AL627309.3	ENSG00000239945
ENSG00000233750	CICP27	ENSG00000233750
ENSG00000268903	AL627309.7	ENSG00000268903
ENSG00000269981	AL627309.8	ENSG00000269981
ENSG00000239906	AL627309.2	ENSG00000239906
ENSG00000241860	AL627309.5	ENSG00000241860
ENSG00000222623	RNU6-1100P	ENSG00000222623
ENSG00000241599	AL627309.4	ENSG00000241599
ENSG00000279928	FO538757.2	ENSG00000279928
ENSG00000279457	FO538757.1	ENSG00000279457
ENSG00000273874	MIR6859-2	ENSG00000273874
ENSG00000228463	AP006222.1	ENSG00000228463
ENSG00000236679	RPL23AP24	ENSG00000236679
ENSG00000236601	AL732372.1	ENSG00000236601
ENSG00000237094	AL732372.2	ENSG00000237094
ENSG00000269732	WBP1LP7	ENSG00000269732
ENSG00000284733	OR4F29	ENSG00000284733
ENSG00000233653	CICP7	ENSG00000233653
ENSG00000250575	AL732372.3	ENSG00000250575
ENSG00000278757	U6	ENSG00000278757
ENSG00000230021	AL669831.3	ENSG00000230021
ENSG00000235146	AC114498.1	ENSG00000235146
ENSG00000225972	MTND1P23	ENSG00000225972
ENSG00000225630	MTND2P28	ENSG00000225630
ENSG00000237973	MTCO1P12	ENSG00000237973
ENSG00000278791	MIR6723	ENSG00000278791
ENSG00000229344	MTCO2P12	ENSG00000229344
ENSG00000240409	MTATP8P1	ENSG00000240409
ENSG00000248527	MTATP6P1	ENSG00000248527
ENSG00000198744	MTCO3P12	ENSG00000198744
ENSG00000268663	WBP1LP6	ENSG00000268663
ENSG00000284662	OR4F16	ENSG00000284662
ENSG00000229376	CICP3	ENSG00000229376
ENSG00000228327	AL669831.1	ENSG00000228327
ENSG00000223181	RNU6-1199P	ENSG00000223181
ENSG00000229905	AL669831.2	ENSG00000229905
ENSG00000237491	AL669831.5	ENSG00000237491
ENSG00000230092	AL669831.4	ENSG00000230092
ENSG00000177757	FAM87B	ENSG00000177757
ENSG00000228794	LINC01128	ENSG00000228794
ENSG00000225880	LINC00115	ENSG00000225880
ENSG00000230368	FAM41C	ENSG00000230368
ENSG00000234711	TUBB8P11	ENSG00000234711
ENSG00000283040	AL669831.6	ENSG00000283040
ENSG00000272438	AL645608.7	ENSG00000272438
ENSG00000230699	AL645608.3	ENSG00000230699
ENSG00000241180	AL645608.5	ENSG00000241180
ENSG00000223764	AL645608.1	ENSG00000223764
ENSG00000187634	SAMD11	ENSG00000187634
ENSG00000188976	NOC2L	ENSG00000188976
ENSG00000187961	KLHL17	ENSG00000187961
ENSG00000187583	PLEKHN1	ENSG00000187583
ENSG00000187642	PERM1	ENSG00000187642
ENSG00000272512	AL645608.8	ENSG00000272512
ENSG00000188290	HES4	ENSG00000188290
ENSG00000187608	ISG15	ENSG00000187608
ENSG00000231702	AL645608.4	ENSG00000231702
ENSG00000224969	AL645608.2	ENSG00000224969
ENSG00000188157	AGRN	ENSG00000188157
ENSG00000242590	AL645608.6	ENSG00000242590
ENSG00000217801	AL390719.1	ENSG00000217801
ENSG00000273443	AL645608.9	ENSG00000273443
ENSG00000237330	RNF223	ENSG00000237330
ENSG00000131591	C1orf159	ENSG00000131591
