logFC	logCPM	PValue	adj.p.value
FKBP5	1.1916	3.22832	2.14438e-16	3.86113e-12
TNRC18	-1.26588	3.41529	8.66969e-15	7.37887e-11
FAM69B	-1.4706	2.64234	3.66461e-14	1.79957e-10
GAK	-1.01804	4.2125	4.59689e-14	2.15924e-10
SBF1	-1.14121	3.43088	6.14688e-14	2.76699e-10
TSC2	-1.19937	3.84523	9.61349e-14	3.99459e-10
SSPO	-0.996494	4.56522	2.65897e-13	8.84724e-10
CHID1	-1.00616	3.75411	4.1651e-13	1.24994e-09
MYO15B	-0.921747	4.22084	7.73671e-13	2.14317e-09
TUBGCP2	-1.36897	2.52988	1.21667e-12	3.05153e-09
UVSSA	-1.17125	3.6986	1.24281e-12	3.05153e-09
SHC2	-0.958669	3.47514	3.91878e-12	7.786e-09
ANAPC2	-1.48143	2.26175	4.41736e-12	8.37244e-09
DGKQ	-1.60533	2.87835	4.78214e-12	8.90755e-09
LMF1	-1.30667	3.89469	5.85675e-12	1.07243e-08
MYO18A	-0.834982	4.56685	9.50274e-12	1.60411e-08
HMCN2	-0.97777	3.87048	1.32454e-11	2.10436e-08
AP3D1	-0.976167	3.45435	2.74958e-11	3.80834e-08
PIGQ	-1.15593	2.86868	3.42354e-11	4.47891e-08
TUBGCP6	-1.33855	2.87892	6.70676e-11	7.39352e-08
TOP1MT	-0.801171	3.7109	1.01605e-10	1.03555e-07
BAIAP3	-1.43739	3.05588	1.49863e-10	1.42021e-07
TRAF7	-1.59089	2.46821	1.55439e-10	1.46025e-07
CTD-3064M3.7	-1.73324	1.36653	1.72245e-10	1.53789e-07
IP6K3	1.33364	2.40697	2.02602e-10	1.73537e-07
CORO7	-0.962817	2.98089	2.04001e-10	1.73537e-07
TSNARE1	-1.00989	3.18557	2.16339e-10	1.77002e-07
TBC1D9B	-0.78727	3.87266	2.34513e-10	1.87671e-07
TNFRSF4	-1.41284	1.90611	2.51338e-10	1.95347e-07
AHRR	-0.941246	3.64453	3.5833e-10	2.59813e-07
GPSM1	-1.06511	2.9571	3.7371e-10	2.69159e-07
MTA1	-1.12144	3.4885	6.30393e-10	4.23009e-07
PACS2	-1.06636	3.99256	6.96067e-10	4.61347e-07
LONP1	-1.32644	2.29774	7.30016e-10	4.77984e-07
ULK1	-1.45259	3.26279	8.88198e-10	5.6779e-07
KCNT1	-0.982765	3.88056	1.00107e-09	6.36178e-07
METRN	-2.88824	0.497961	1.03959e-09	6.5298e-07
CTTN	-0.937217	3.17133	1.18104e-09	7.27163e-07
DNAH1	-0.903268	3.79272	1.3831e-09	8.25554e-07
PFKL	-1.14868	3.64399	1.38312e-09	8.25554e-07
LSMEM1	1.04351	2.52254	1.39242e-09	8.26541e-07
PROM2	-0.925451	3.22514	1.59544e-09	9.16825e-07
ADAMTS2	-1.0466	2.73234	1.65065e-09	9.38569e-07
GLI4	-1.16489	2.75723	1.73358e-09	9.80561e-07
AP1B1	-0.805511	3.3954	1.93184e-09	1.06483e-06
PLXNB1	-0.697809	4.00418	2.16199e-09	1.17372e-06
RNF215	-1.43363	1.91567	2.71196e-09	1.4292e-06
SLN	1.21504	2.39537	2.90908e-09	1.50374e-06
COL16A1	-0.724047	4.30407	3.28507e-09	1.66229e-06
FBN3	-0.759197	3.90319	3.75349e-09	1.8103e-06
SIN3B	-0.778181	3.57761	4.28889e-09	2.01456e-06
LPHN1	-0.944769	3.58122	4.46064e-09	2.07718e-06
ABR	-0.78278	5.26337	4.87178e-09	2.23967e-06
RASGEF1A	-1.00564	3.74974	5.05074e-09	2.30235e-06
NOC2L	-1.63855	1.45967	5.07974e-09	2.30584e-06
RANBP3	-0.966342	2.74346	6.00609e-09	2.63767e-06
CACNA1H	-1.28591	2.88771	6.62861e-09	2.8492e-06
PLXNA1	-1.06608	3.26139	7.22079e-09	2.98478e-06
APC2	-1.69714	2.40113	7.559e-09	3.05857e-06
PTDSS2	-0.863935	3.5476	9.2121e-09	3.63222e-06
CDK18	-0.844773	3.58217	1.08235e-08	4.14651e-06
