logFC	logCPM	PValue	adj.p.value
NR4A3	4.12734	5.09552	8.46507e-69	6.24341e-65
HSPA1B	3.64685	7.42834	6.43968e-48	3.16639e-44
DNAJB1	2.35432	7.13208	7.44748e-36	2.74645e-32
MIR133A1HG	-1.02085	7.29935	4.34519e-28	1.28192e-24
HSPH1	1.11729	6.03741	1.45377e-26	3.06351e-23
CXCL2	5.48158	2.88719	1.71515e-25	3.16252e-22
ADAMTS1	2.30291	6.17099	6.58349e-23	1.07903e-19
SERPINH1	1.87393	4.79792	2.19871e-22	3.24332e-19
SOX17	2.21189	2.45587	1.09632e-21	1.47017e-18
RHOB	0.909768	6.14992	1.06018e-19	1.30323e-16
FOSL2	1.01963	5.80193	2.61508e-18	2.96731e-15
RASD1	2.36929	2.59167	1.14652e-17	1.20802e-14
ZBTB21	2.02584	2.15257	8.59959e-16	7.92828e-13
GRASP	2.34295	3.69612	2.63148e-15	2.28335e-12
KCNE4	2.04699	1.75939	1.31404e-14	1.02018e-11
SLC2A3	3.24058	3.74351	1.82679e-14	1.34735e-11
TTN	0.399239	14.7256	2.26876e-14	1.58623e-11
NUFIP2	0.715312	5.36176	2.36574e-14	1.58623e-11
SEMA4C	1.32912	3.63889	2.5756e-14	1.65186e-11
APOLD1	2.35033	4.81767	4.43135e-14	2.72362e-11
ERF	1.37113	3.42872	6.94984e-14	4.10068e-11
LDLR	2.00327	3.1076	1.45888e-13	8.2769e-11
C8orf4	1.80802	3.9641	2.3511e-13	1.28448e-10
SERPINE1	2.66998	2.97857	1.32354e-12	6.97267e-10
ZBTB16	0.702963	5.9374	2.01527e-12	1.02508e-09
AKAP12	1.21326	3.86299	3.00482e-12	1.47747e-09
NR4A1	2.1476	7.74916	5.35985e-12	2.54722e-09
LRRC32	1.32682	3.6565	8.13009e-12	3.52726e-09
KLF4	2.19016	4.18888	8.88506e-12	3.74467e-09
SLC25A25	1.00102	5.29299	1.08503e-11	4.44591e-09
HSP90AA1	0.632624	9.15084	1.6285e-11	6.49245e-09
JUN	0.809702	7.72178	1.97498e-11	7.66656e-09
ABRA	0.882624	8.12078	2.11945e-11	8.01642e-09
PDE4B	0.878339	4.08797	3.71834e-11	1.33779e-08
UBE2C	3.16107	1.18033	1.1054e-10	3.88232e-08
TPM4	1.34835	4.16784	2.01199e-10	6.90208e-08
BHLHE40	0.678409	6.60363	2.3936e-10	8.02456e-08
MCL1	0.636615	8.00596	2.90018e-10	9.50679e-08
AC083843.1	0.97618	3.66243	3.0344e-10	9.73051e-08
SPRY4	1.02858	3.0598	3.78902e-10	1.18919e-07
CX3CL1	1.59226	3.90608	4.27318e-10	1.3132e-07
CSRNP1	2.00166	4.48227	5.93911e-10	1.78791e-07
NRIP1	0.493138	6.2493	6.52151e-10	1.91179e-07
SLCO4A1	2.34194	1.32348	7.80936e-10	2.2153e-07
PIK3R3	1.12781	3.67037	8.06158e-10	2.24371e-07
AMT	-0.687243	4.43145	8.64286e-10	2.36094e-07
CTD-3014M21.1	3.56803	2.05582	1.41793e-09	3.80288e-07
MAFF	2.46708	3.40636	1.67945e-09	4.42384e-07
EPHA2	1.37249	2.29997	2.15278e-09	5.57116e-07
CCL2	2.72837	2.59963	3.30937e-09	8.41665e-07
JUND	0.730054	5.90887	3.60213e-09	8.85583e-07
ZFP36L1	0.743286	5.73525	4.18073e-09	9.94677e-07
FEM1C	0.49267	5.42985	8.65748e-09	2.02709e-06
IFRD1	0.655642	5.34701	1.03095e-08	2.33963e-06
RYBP	1.34938	3.09626	1.09041e-08	2.43708e-06
GADD45B	2.62019	3.91347	1.22099e-08	2.68818e-06
ACTG1	0.726166	7.63372	1.39155e-08	3.01864e-06
DNAJA1	0.95806	5.5008	1.76597e-08	3.72141e-06
CDKN1A	2.51959	3.76213	1.84426e-08	3.83165e-06
KDM6B	0.565488	4.72059	1.87369e-08	3.83872e-06
