logFC	logCPM	PValue	adj.p.value
FKBP5	1.1916	3.22832	2.14438e-16	3.86113e-12
GAK	-1.01804	4.2125	4.59689e-14	2.15924e-10
KLF9	1.29779	2.25663	4.73992e-08	1.34757e-05
TNXB	-0.70271	3.49999	7.29617e-08	1.90397e-05
CPED1	0.735761	3.52825	8.006e-08	2.03993e-05
DUSP1	1.1597	2.07258	1.59706e-07	3.55748e-05
ACAP3	-1.41504	2.02057	4.80875e-07	8.18131e-05
MCL1	1.60702	1.35387	5.75398e-07	9.50506e-05
WBP1L	0.910931	2.74217	5.81049e-07	9.56915e-05
LTBP2	-0.815001	3.06065	6.355e-07	0.000103398
TTYH2	-0.793839	3.15817	8.88562e-07	0.000132307
TMEM259	-1.58854	1.44524	1.22482e-06	0.000169645
SYNCRIP	0.945835	2.15156	2.52109e-06	0.000294768
DYNC1H1	-0.788875	3.30405	2.58289e-06	0.000300745
NR4A2	0.775924	3.32481	2.75427e-06	0.000315878
MEF2BNB	-1.50821	1.17715	2.88742e-06	0.000327327
CTB-52I2.4	1.02078	2.67654	3.41148e-06	0.000373036
CTD-2003C8.2	1.13027	1.91201	4.36261e-06	0.000445899
HTT	-0.483921	4.0538	5.09337e-06	0.000500785
HES1	1.01614	2.1572	5.69932e-06	0.000544061
PK	0.736647	2.79815	6.43259e-06	0.000591255
SCARF2	-1.15858	2.65322	6.55315e-06	0.000597948
MYO15A	-0.655289	4.07527	6.56276e-06	0.000598319
HIVEP2	1.01362	2.45503	7.8515e-06	0.000677505
HELZ2	-0.915752	3.14526	9.11676e-06	0.000754157
TMEM175	-0.997653	2.27109	1.23686e-05	0.000948358
GATA2	-1.09543	2.50962	1.4809e-05	0.00107618
RYR1	-0.671248	3.69131	1.52141e-05	0.00109797
PRRC2A	-1.36892	0.984216	2.17978e-05	0.00140509
CPEB4	0.789852	2.46039	2.91592e-05	0.00173015
ARFGAP1	-2.03475	0.464708	3.08625e-05	0.00179646
ACTN4	-0.617892	3.50433	3.45234e-05	0.0019446
FES	-1.06109	2.31805	3.62006e-05	0.00201076
SEMA3F	-0.93175	2.33797	3.73991e-05	0.00205724
ATG4B	-0.7635	2.77986	3.80891e-05	0.00208458
ATP1B1	1.60293	0.717362	4.97099e-05	0.00252725
NPEPL1	-0.860641	2.95682	5.933e-05	0.00284623
KLF6	0.79944	2.82203	6.39707e-05	0.0029983
AMDHD2	-1.55674	1.08397	6.67576e-05	0.00309093
AC006480.1	-1.81769	0.661412	6.8744e-05	0.00315609
P2RX6	-1.32938	1.23466	7.44607e-05	0.00333135
HIPK3	0.828092	2.54704	7.75423e-05	0.00342489
FBLN2	-0.599046	3.8314	7.85794e-05	0.00345516
HSPG2	-0.674265	4.7043	8.58629e-05	0.0036752
ATP11A	-0.426063	4.55292	8.9099e-05	0.00376008
TRIB1	0.76823	2.40564	9.57752e-05	0.0039553
MSX1	-1.01464	1.89418	0.000117062	0.00454758
FOXO3	0.62967	2.87898	0.000124103	0.00471596
ACTG1	-1.70295	0.607184	0.000126247	0.00476908
SETD5	-0.649437	3.36868	0.000129964	0.00487523
PLEKHA1	0.637117	2.8128	0.00013501	0.00500886
STAT2	-0.883929	1.81369	0.000141965	0.00517798
